question,QID,answer,answer_OID
"This Marvel Comics superhero, whose birth name was Peter Benjamin Parker, first used his new found superpowers as a professional wrestler.",ENTERTAINMENT_d59e_0014,Spiderman,ENTERTAINMENT_OPT_89d5_000B
"This comedic superhero, created by Ben Edlund, met an accountant named Arthur, after taking a long bus ride into The City.",ENTERTAINMENT_b0fb_0015,"The Tick",ENTERTAINMENT_OPT_5ca2_000A
"These comic book superheroes were trained in Professor Xaviers School for Gifted Youngsters.",ENTERTAINMENT_4295_0016,"The X-Men",ENTERTAINMENT_OPT_d028_000B
"Which Marvel Comics character became a ruthless vigilante, after witnessing his familys violent murder?",ENTERTAINMENT_653c_0017,"The Punisher",ENTERTAINMENT_OPT_0105_000B
"This DC Comics superhero, whose true identity is Bruce Wayne, decided to train himself to the peak of physical perfection after witnessing the murder of his parents.",ENTERTAINMENT_0eea_0018,Batman,ENTERTAINMENT_OPT_ce10_000B
"Which fictional member ot the Teen Titans started out as Batmans sidekick?",ENTERTAINMENT_b480_0019,Nightwing,ENTERTAINMENT_OPT_7503_000D
"Fellow Justice League members Superman and Martian Manhunter have something in common. What is it?",ENTERTAINMENT_3c35_0020,"They are both aliens.",ENTERTAINMENT_OPT_7d05_000D
"Which of the following fictional heroes is a World War II veteran?",ENTERTAINMENT_ce04_0021,"Captain America",ENTERTAINMENT_OPT_3131_000B
"What is the real name of Gambit who first appeared in the comic book The Uncanny X-Men?",ENTERTAINMENT_9348_0022,"Remy LeBeau",ENTERTAINMENT_OPT_2a06_000A
"Which of these X-Men characters is not a member of the Summers family line?",ENTERTAINMENT_31ab_0023,"Mister Sinister",ENTERTAINMENT_OPT_cadf_000B
"Archangel, a mutant and a member of the X-Men, was which horseman of Apocalypse?",ENTERTAINMENT_e43f_0024,Death,ENTERTAINMENT_OPT_d051_000A
"Which antagonist of the X-Men is responsible for the death of Wolverine in the comic books?",ENTERTAINMENT_c1b8_0025,Magneto,ENTERTAINMENT_OPT_aa85_000C
"Which of these X-men characters is not a mutant?",ENTERTAINMENT_7b4b_0026,Juggernaut,ENTERTAINMENT_OPT_ee37_000C
"In the Age of Apocalypse timeline, Wolverine, a member of the X-Men, is married to which female?",ENTERTAINMENT_4f61_0027,Storm,ENTERTAINMENT_OPT_2510_000A
"Who is the head of the X-Men in the Age of Apocalypse timeline?",ENTERTAINMENT_6bd2_0028,Magneto,ENTERTAINMENT_OPT_702f_000A
"Omega Red, a foe of the X-Men, serves which country?",ENTERTAINMENT_a60e_0029,Russia,ENTERTAINMENT_OPT_8c04_000B
"What is the real name of X-Men member Wolverine?",ENTERTAINMENT_258e_0030,"James Howlett",ENTERTAINMENT_OPT_560c_000B
"This member of the Hellfire Clubs inner circle, known as the White Queen, once fought against the X-Men.",ENTERTAINMENT_cb8f_0031,"Emma Frost",ENTERTAINMENT_OPT_e64d_000A
"When was the Miss America pageant first held?",ENTERTAINMENT_edd8_0032,"September 7, 1921",ENTERTAINMENT_OPT_4450_000D
"The most common talents performed are singing and dancing, but there have been a variety of other odd talents as well.  Which talent was performed at a Miss America pageant?",ENTERTAINMENT_6c6c_0033,"Packing a suitcase",ENTERTAINMENT_OPT_93f1_000D
"Who was the first Jewish Miss America?",ENTERTAINMENT_07e5_0034,"Bess Myerson",ENTERTAINMENT_OPT_3016_000C
"Miss America always goes on to compete in the Miss Universe pageant.",ENTERTAINMENT_4d8c_0035,False,ENTERTAINMENT_OPT_ff58_000B
"As of the beginning of the new millenium, how many Miss America title holders were from New Jersey, the state that held the competitions?",ENTERTAINMENT_9f2a_0036,2,ENTERTAINMENT_OPT_7af0_000A
"Who was the first deaf Miss America?",ENTERTAINMENT_b7e8_0037,"Heather Whitestone",ENTERTAINMENT_OPT_e11a_000D
"Until 2004 ABC aired the Miss America pageant , it then switched to what station?",ENTERTAINMENT_f7df_0038,CMT,ENTERTAINMENT_OPT_af62_000C
"In what year did Snoopy first make his first appearance in a comic strip?",ENTERTAINMENT_b10e_0039,1950,ENTERTAINMENT_OPT_9a2d_000D
"What name was Charles Schulz originally going to give to Charlie Browns dog Snoopy?",ENTERTAINMENT_153f_0040,Sniffy,ENTERTAINMENT_OPT_9c98_000C
"What position did cartoon character Snoopy play in Charlie Browns Little League baseball team?",ENTERTAINMENT_b92f_0041,"Short Stop",ENTERTAINMENT_OPT_b110_000D
"In what year did comic strip character Snoopy first appear sleeping on top of his doghouse?",ENTERTAINMENT_45c8_0042,1958,ENTERTAINMENT_OPT_4b59_000B
"In what year did comic strip character Snoopy first walk upright?",ENTERTAINMENT_d0ca_0043,1956,ENTERTAINMENT_OPT_62b8_000D
"Which one of these pairs roller coaster- theme park is wrong?",ENTERTAINMENT_a554_0044,"Avalanche- Holiday World",ENTERTAINMENT_OPT_3675_000C
"Top Thrill Dragster was opened in 2003 and it was the tallest and fastest roller coaster in the world until 2005 (this is true). It was the first roller coaster to break the 300 ft (91.4 m) barrier.",ENTERTAINMENT_2d8d_0045,False,ENTERTAINMENT_OPT_e1b2_000B
"Which one of these pairs roller coaster- year of opening is wrong?",ENTERTAINMENT_4ce7_0046,"Nitro- 2000",ENTERTAINMENT_OPT_8837_000C
"October 2006 saw the release of which Mortal Kombat game?",ENTERTAINMENT_78e7_0047,12th,ENTERTAINMENT_OPT_8b91_000C
"In the Mortal Kombat storyline, Liu Kang was brutally murdered by which character?",ENTERTAINMENT_8b14_0048,"Shang Tsung",ENTERTAINMENT_OPT_52f0_000A
"What feature makes Kenshi different from all other Mortal Kombat characters?",ENTERTAINMENT_f67b_0049,"He is blind.",ENTERTAINMENT_OPT_1e35_000C
"How does Calvins dad like to spend his vacation in the comic strip Calvin and Hobbes",ENTERTAINMENT_a4dd_0050,"Going Camping",ENTERTAINMENT_OPT_382d_000A
"In the cartoon Calvin and Hobbes, Calvin enjoys the dinners that his mom makes.",ENTERTAINMENT_3556_0051,False,ENTERTAINMENT_OPT_5778_000A
"Cartoon character Calvin hates taking baths.",ENTERTAINMENT_8e81_0052,True,ENTERTAINMENT_OPT_ffb9_000A
"What does comic strip character Calvin like to do during recess?",ENTERTAINMENT_2d65_0053,"None of these",ENTERTAINMENT_OPT_a8e8_000B
"Which of these is NOT the name of one of the Calvin and Hobbes books?",ENTERTAINMENT_8baf_0054,"The Conclusive Calvin and Hobbes",ENTERTAINMENT_OPT_5c04_000C
"Which of the following words is not part of the title of Calvins favorite book in the Calvin and Hobbes comic strip?",ENTERTAINMENT_0abb_0055,Louis,ENTERTAINMENT_OPT_81ea_000D
"SeaWorld has an official airline and one of its Boeing 737 jetliners is painted to look like a flying Killer Whale. Name this airline.",ENTERTAINMENT_64cd_0056,Southwest,ENTERTAINMENT_OPT_93e7_000C
"There is more than one Killer Whale named Shamu in the SeaWorld parks in the U.S.",ENTERTAINMENT_2dfe_0057,True,ENTERTAINMENT_OPT_c107_000A
"In what year did SeaWorld Orlando open?",ENTERTAINMENT_f2bb_0058,1973,ENTERTAINMENT_OPT_438b_000B
"Which of these creatures is not featured in the exhibit of the world famous SeaWorld attraction Wild Arctic?",ENTERTAINMENT_01b0_0059,Penguin,ENTERTAINMENT_OPT_0eed_000D
"What SeaWorld attraction allows you to walk through a tube in which sharks swim all around you?",ENTERTAINMENT_9706_0060,"Shark Encounter",ENTERTAINMENT_OPT_7473_000D
"What is the name of the SeaWorld Orlando amusement ride that is a combination of a water ride and a roller coaster?",ENTERTAINMENT_cc7d_0061,"Journey to Atlantis",ENTERTAINMENT_OPT_126a_000C
"What are the names of the four theme parks that make up Disney World?",ENTERTAINMENT_f23c_0062,"Magic Kingdom, Epcot, Animal Kingdom, Disney Hollywood Studios",ENTERTAINMENT_OPT_3f33_000A
"How many acres did Walt Disney purchase for Disney World to be built on?",ENTERTAINMENT_861f_0063,"27,400",ENTERTAINMENT_OPT_07c3_000D
"What is the main icon of the Magic Kingdom park?",ENTERTAINMENT_07b8_0064,"Cinderellas Castle",ENTERTAINMENT_OPT_fbaf_000A
"What is the title, given to employees at Disney World?",ENTERTAINMENT_ce04_0065,"Cast Members",ENTERTAINMENT_OPT_36f6_000D
"Which of the following statements is a true fact about Disney World?",ENTERTAINMENT_6f46_0066,"All of the above.",ENTERTAINMENT_OPT_2239_000B
"How many resorts are there on the Disney World property?",ENTERTAINMENT_f13a_0067,32,ENTERTAINMENT_OPT_3e98_000B
"World Showcase is a part of Epcot that highlights different countries and cultures.  Which of the following countries is not in the Showcase?",ENTERTAINMENT_6963_0068,Spain,ENTERTAINMENT_OPT_be7d_000D
"The Twilight Tower of Terror is a free fall thrill ride located in Hollywood Studios.  It is based on a television show from the 1950s.  What was the name of that show?",ENTERTAINMENT_b6a5_0069,"The Twilight Zone",ENTERTAINMENT_OPT_9987_000D
"What is the main icon of the Animal Kingdom park?",ENTERTAINMENT_1426_0070,"The Tree of Life",ENTERTAINMENT_OPT_df45_000A
"Which of the four parks is the largest single Disney theme park in the world?",ENTERTAINMENT_00bf_0071,"Animal Kingdom",ENTERTAINMENT_OPT_d09e_000C
"Dilbert from the self-titled comic strip is an engineer who graduated from MIT. What type of engineering degree does Dilbert have?",ENTERTAINMENT_f64e_0072,Electrical,ENTERTAINMENT_OPT_9fc4_000A
"Which of the following is not one of the characters that live in Dilberts house in the comic strip Dilbert?",ENTERTAINMENT_438f_0073,Catbert,ENTERTAINMENT_OPT_d0d9_000C
"Which of the following is not a word/term created by Scott Adams for the comic strip Dilbert?",ENTERTAINMENT_b5f6_0074,synergy,ENTERTAINMENT_OPT_3bff_000A
"In the comic strip Dilbert, the real name of Dilberts pointed-haired boss is Phil.",ENTERTAINMENT_50b4_0075,False,ENTERTAINMENT_OPT_2dec_000A
"Who is the brother of the pointed-haired boss in the comic strip Dilbert?",ENTERTAINMENT_c5bb_0076,"Phil, Prince of Insufficient Light",ENTERTAINMENT_OPT_f9b3_000B
"What is the name of Dilberts coworker in the comic strip Dilbert, who believes he has psychic powers?",ENTERTAINMENT_4b28_0077,Asok,ENTERTAINMENT_OPT_e41b_000A
"What is the name of Dilberts sometimes girlfriend in the comic strip Dilbert?",ENTERTAINMENT_94d8_0078,Liz,ENTERTAINMENT_OPT_bcc3_000D
"Which wrestler is famous for using a move called the Pedigree?",ENTERTAINMENT_feb0_0079,"Triple H",ENTERTAINMENT_OPT_aba1_000B
"Dave Animal Batistas famous ending move is called the Batista Drop.",ENTERTAINMENT_6e14_0080,False,ENTERTAINMENT_OPT_3500_000A
"The FU is the signature move of this wrestler, who also performs a pre-ending move called U Cant See Me.",ENTERTAINMENT_a50c_0081,"John Cena",ENTERTAINMENT_OPT_ab9f_000C
"Which finishing move is most notably performed by Shawn Michaels?",ENTERTAINMENT_15ee_0082,"Sweet Chin Music",ENTERTAINMENT_OPT_2693_000A
"What is the signature finishing move performed by EDGE of SmackDown?",ENTERTAINMENT_45d0_0083,"the Spear",ENTERTAINMENT_OPT_2745_000C
"Which WWE champion has two signature moves called the Swanton Bomb and the Twist of Fate?",ENTERTAINMENT_99d7_0084,"Jeff Hardy",ENTERTAINMENT_OPT_d376_000C
"What is the ending move used by former champion Randy Orton called?",ENTERTAINMENT_4bcf_0085,RKO,ENTERTAINMENT_OPT_c949_000C
"What is The Undertakers signature finishing move?",ENTERTAINMENT_e59d_0086,"Tombstone Pile Driver",ENTERTAINMENT_OPT_e9fd_000C
"Which former WWE champion uses a move called Codebreakerr?",ENTERTAINMENT_51c3_0087,"Chris Jericho",ENTERTAINMENT_OPT_9df8_000A
"In the music video game Guitar Hero 3, what is the encore song you play in the first set of songs?",ENTERTAINMENT_5a47_0088,"Rock All Night",ENTERTAINMENT_OPT_0870_000A
"There are five unlockable characters in the music video game Guitar Hero 3.",ENTERTAINMENT_3b2f_0089,True,ENTERTAINMENT_OPT_e115_000B
"How many songs excluding the encores are there in Guitar Hero 3?",ENTERTAINMENT_9c8f_0090,32,ENTERTAINMENT_OPT_3ba1_000A
"Slash, a character in the Guitar Hero 3 music video game, is also a real life musician that became popular with which of these bands?",ENTERTAINMENT_8fb5_0091,"Guns N Roses",ENTERTAINMENT_OPT_f5af_000D
"Music video game Guitar Hero 3 is rated T for teen.",ENTERTAINMENT_5d37_0092,True,ENTERTAINMENT_OPT_4cf9_000B
"Choose the missing words in the following lyrics to get the name of a song from Guitar Hero 3: ___________ _____, if you know what I mean ___________ _____, she taught me everything This lady she asked me, if I would be her man You know that I told her, Id do what I can To keep her looking pretty Buy her dresses that shine",ENTERTAINMENT_92be_0093,"Mississippi queen",ENTERTAINMENT_OPT_14df_000A
"In Guitar Hero 3, “Bulls on Parade by Rage Against the Machine is the third encore song.",ENTERTAINMENT_a80a_0094,False,ENTERTAINMENT_OPT_81ae_000B
"Who is the last boss in the music video game Guitar Hero 3?",ENTERTAINMENT_dbfb_0095,Lou,ENTERTAINMENT_OPT_2171_000A
"In what year was the debut of the comic strip Hagar the Horrible?",ENTERTAINMENT_8cc7_0096,1973,ENTERTAINMENT_OPT_6e68_000C
"Hagar the Horrible from the comic strip of the same name had his own short lived line of beer called Hagars Viking Beer which was pulled off the shelves due to lack of sales.",ENTERTAINMENT_8961_0097,False,ENTERTAINMENT_OPT_9520_000A
"Shortly after its creation the Hagar the Horrible comic strips distributed to how many newspapers worldwide?",ENTERTAINMENT_1c34_0098,"1,900",ENTERTAINMENT_OPT_c934_000A
"In how many countries were the Hagar the Horrible comic strips strip distributed?",ENTERTAINMENT_0bcd_0099,58,ENTERTAINMENT_OPT_effd_000B
"How many languages were the Hagar the Horrible comics printed in worldwide?",ENTERTAINMENT_9d7f_0100,13,ENTERTAINMENT_OPT_6177_000B
"What kind of radiation was Dr. Banner exposed to that causes him to turn into the Hulk?",ENTERTAINMENT_58c7_0101,Gamma,ENTERTAINMENT_OPT_649c_000B
"In what year did The Incredible Hulk debut?",ENTERTAINMENT_2c56_0102,1962,ENTERTAINMENT_OPT_5695_000D
"What year saw the debut of The Incredible Hulk TV series?",ENTERTAINMENT_b3c5_0103,1978,ENTERTAINMENT_OPT_9da8_000C
"In the 1989 TV movie The Trial of he Incredible Hulk, the Hulk co-stars with what fellow superhero?",ENTERTAINMENT_be51_0104,Daredevil,ENTERTAINMENT_OPT_e11a_000D
"Who were the creators of comics superhero Aquaman?",ENTERTAINMENT_bf90_0105,"Paul Norris and Mort Weisinger",ENTERTAINMENT_OPT_0a3a_000B
"What famous comic book company published Aquaman Comics?",ENTERTAINMENT_94d3_0106,"DC Comics",ENTERTAINMENT_OPT_c7c4_000C
"Aquamans enemy the Ocean Master was his own father.",ENTERTAINMENT_e960_0107,False,ENTERTAINMENT_OPT_32ac_000A
"Did comics character Aquaman ever have a child?",ENTERTAINMENT_a9bc_0108,Yes,ENTERTAINMENT_OPT_97ec_000B
"What was the name of Aquamans girlfriend and eventual wife?",ENTERTAINMENT_9241_0109,Mera,ENTERTAINMENT_OPT_4873_000A
"Which of these was not one of Aquamans amazing powers?",ENTERTAINMENT_2612_0110,"Having complete control over water",ENTERTAINMENT_OPT_e982_000C
"How long could Aquaman survive out of water?",ENTERTAINMENT_114c_0111,"One Hour",ENTERTAINMENT_OPT_ea3e_000B
"Comics superhero Aquaman was one of the founding members of The Justice League of America.",ENTERTAINMENT_91e1_0112,True,ENTERTAINMENT_OPT_4ef9_000A
"In the comic strip FoxTrot, what is the name of the only girl in the Fox family?",ENTERTAINMENT_8df0_0113,Paige,ENTERTAINMENT_OPT_41a7_000D
"Does FoxTrot character Jason ever joke that it is 25 degrees out?",ENTERTAINMENT_5d02_0114,No,ENTERTAINMENT_OPT_0cf5_000B
"In the comics FoxTrot, Roger Fox is writing a novel.",ENTERTAINMENT_41c8_0115,True,ENTERTAINMENT_OPT_66a7_000A
"Does Andy and Rogers daughter get notes in her locker in FoxTrot?",ENTERTAINMENT_97d7_0116,Yes,ENTERTAINMENT_OPT_f55e_000B
"What is the name of Peters girlfriend in the comics FoxTrot?",ENTERTAINMENT_d41e_0117,Denise,ENTERTAINMENT_OPT_2b72_000D
"Which of the following best describes Andy and Roger’s youngest child in the comics FoxTrot?",ENTERTAINMENT_8d37_0118,"A nerd",ENTERTAINMENT_OPT_9598_000B
"Has FoxTrot character Jason developed a plan for a Star Trek-themed amusement park?",ENTERTAINMENT_2018_0119,No,ENTERTAINMENT_OPT_9e11_000B
"What Batman villain formerly worked as a zoologist?",ENTERTAINMENT_5956_0120,ManBat,ENTERTAINMENT_OPT_8583_000C
"What super villain once broke Batmans back, leaving him crippled and wheelchair-bound?",ENTERTAINMENT_4f11_0121,Bane,ENTERTAINMENT_OPT_d531_000B
"What year was the character of Robin first introduced?",ENTERTAINMENT_8d77_0122,1940,ENTERTAINMENT_OPT_d136_000A
"Who is credited with creating Batman?",ENTERTAINMENT_3b69_0123,"Bob Kane",ENTERTAINMENT_OPT_5c11_000B
"In Detective Comics #267, a magical Kobold from another dimension decides to help Batman fight crime--what was his name?",ENTERTAINMENT_8a61_0124,Bat-Mite,ENTERTAINMENT_OPT_3fe8_000A
"What was Bat-hounds name?",ENTERTAINMENT_18e1_0125,Ace,ENTERTAINMENT_OPT_b5a8_000C
"What were the names of Bruce Waynes parents?",ENTERTAINMENT_3def_0126,"Thomas  Martha",ENTERTAINMENT_OPT_d913_000A
"The original Batgirl was related to what familiar Batman character?",ENTERTAINMENT_6e3d_0127,Batwoman,ENTERTAINMENT_OPT_bb9a_000B
"Which of these Bat-villains was introduced first?",ENTERTAINMENT_47a8_0128,Catwoman,ENTERTAINMENT_OPT_6e83_000D
"What was Alfred the butlers original family name?",ENTERTAINMENT_5403_0129,Beagle,ENTERTAINMENT_OPT_98f2_000C
"How many health points does the Mountian Giant unit have?",ENTERTAINMENT_79f8_0130,1600,ENTERTAINMENT_OPT_c255_000C
"What hero does the phrase Moonlight shines upon the guilty and the innocent alike belong to?",ENTERTAINMENT_bd7f_0131,Naisha,ENTERTAINMENT_OPT_2c41_000D
"Who is the leader of the Burning Legion?",ENTERTAINMENT_67d9_0132,Archimond,ENTERTAINMENT_OPT_f94b_000A
"What is the name of the well from which Night Elfs originally obtained their magical powers?",ENTERTAINMENT_3f97_0133,"Well of Eternity",ENTERTAINMENT_OPT_0d77_000C
"What hero or unit does the this phrase belong to?",ENTERTAINMENT_a132_0134,"Muradin Bronzebeard",ENTERTAINMENT_OPT_d3fb_000A
"Who is Tyrande Whisperwind in love with?",ENTERTAINMENT_a151_0135,"Malfurion Stormrage",ENTERTAINMENT_OPT_9b56_000A
"In Warcraft III:The Frozen Throne, Illidan Stormrage works for?",ENTERTAINMENT_fa69_0136,Kiljaeden,ENTERTAINMENT_OPT_36b8_000B
"What is the name of the creator of Bloom County?",ENTERTAINMENT_6eee_0137,"Berkely Brethed",ENTERTAINMENT_OPT_d328_000A
"What was the name of the penguin in Bloom County?",ENTERTAINMENT_0d58_0138,Opus,ENTERTAINMENT_OPT_e595_000B
"In Bloom County, Milo Bloom was a 10-year-old reporter for The Bloom Chronicle.",ENTERTAINMENT_95d4_0139,False,ENTERTAINMENT_OPT_798f_000B
"What was the name of the hard rock band formed by lawyer Steve Dallas in the Bloom County comic strip?",ENTERTAINMENT_b71f_0140,Deathtongue,ENTERTAINMENT_OPT_3c22_000B
"Who did Opus marry in the comic strip Bloom County?",ENTERTAINMENT_3d0e_0141,"Lola Granola",ENTERTAINMENT_OPT_09ef_000B
"Bloom County character Opus has appeared in two other comic strips titled Neverland and Opus.",ENTERTAINMENT_3af6_0142,False,ENTERTAINMENT_OPT_05c3_000B
"What was the name of the feminist school teacher in Bloom County?",ENTERTAINMENT_ee3a_0143,"Bobbie Harlowe",ENTERTAINMENT_OPT_3011_000B
"There was a TV Christmas special that centered on the famous comic strip character Opus.",ENTERTAINMENT_0942_0144,True,ENTERTAINMENT_OPT_4a84_000A
"In the comic strip Bloom County, Bill the cat became a televangelist. What was his name?",ENTERTAINMENT_4071_0145,"Fundamentally Oral Bill",ENTERTAINMENT_OPT_95f1_000D
"What year did Andy Capp make his comic strip debut?",ENTERTAINMENT_2fa3_0146,1957,ENTERTAINMENT_OPT_7ea9_000B
"Which of these is NOT one of Andy Capps hobbies?",ENTERTAINMENT_82ef_0147,Hunting,ENTERTAINMENT_OPT_8bf6_000C
"There was once a musical based on the Andy Capp comic strip.",ENTERTAINMENT_3a85_0148,True,ENTERTAINMENT_OPT_8b34_000A
"Who are Andy Capps best friends and neighbors?",ENTERTAINMENT_f4bb_0149,"The Whites",ENTERTAINMENT_OPT_f79e_000D
"What country are the Andy Capp comic strips set in?",ENTERTAINMENT_d81a_0150,Britain,ENTERTAINMENT_OPT_a0ed_000A
"Cartoon character Andy Capp has a son.",ENTERTAINMENT_f603_0151,True,ENTERTAINMENT_OPT_4bc7_000A
"In what year did the Andy Capp comic strips reach the U.S.?",ENTERTAINMENT_b872_0152,1963,ENTERTAINMENT_OPT_8ce9_000B
"Which one of these comics was the first comic Jim Davis created?",ENTERTAINMENT_e49e_0153,"Gnorm Gnat",ENTERTAINMENT_OPT_8570_000B
"When did the comic strip Garfield come out?",ENTERTAINMENT_5e5b_0154,1978,ENTERTAINMENT_OPT_bf7d_000A
"Is it true that the comic strip Garfield inspired a CD titled Am I Cool or Not?",ENTERTAINMENT_d5ec_0155,No,ENTERTAINMENT_OPT_dab6_000A
"Who is Garfields on and off girlfriend?",ENTERTAINMENT_6406_0156,Arlene,ENTERTAINMENT_OPT_a95b_000B
"Is it true that Nermal, who makes unannounced visits into Garfields home, is a male kitten?",ENTERTAINMENT_7192_0157,Yes,ENTERTAINMENT_OPT_c100_000A
"Who is the fictional dog that gets pushed around by Garfield?",ENTERTAINMENT_eb09_0158,Odie,ENTERTAINMENT_OPT_6e5d_000A
"Who is the Garfields owner on the popular comic strip?",ENTERTAINMENT_2a4d_0159,"Jon Arbuckle",ENTERTAINMENT_OPT_9d03_000B
"What is the profession of Irma, one of the supporting characters on the comic strip Garfield?",ENTERTAINMENT_949d_0160,waitress,ENTERTAINMENT_OPT_81ed_000B
"What is the name of Garfields veterinarian on the self-titled comic strip?",ENTERTAINMENT_ea74_0161,"Liz Wilson",ENTERTAINMENT_OPT_48c1_000B
"This ancient circus, situated between the Palatine and Aventine hills, was both the first and the largest circus in Rome.",ENTERTAINMENT_d3f3_0162,"Circus Maximus",ENTERTAINMENT_OPT_df34_000B
"Who was the creator of the French circus, who is also thought to be one of the creators of modern circus?",ENTERTAINMENT_748d_0163,"Antonio Franconi",ENTERTAINMENT_OPT_11ae_000B
"In which state did the first circus building in the USA open in 1793?",ENTERTAINMENT_f468_0164,Pennsylvania,ENTERTAINMENT_OPT_64d1_000A
"What was typical for the Cirque nouveau or the New Circus that developed in the 1970s in France, Australia, the USA.and the UK?",ENTERTAINMENT_55d2_0165,"No animals were used.",ENTERTAINMENT_OPT_2190_000C
"What is the presenter of a traditional circus show called?",ENTERTAINMENT_0c5b_0166,ringmaster,ENTERTAINMENT_OPT_9b2c_000D
"O and Ovo are among the shows performed by this circus group founded in 1984.",ENTERTAINMENT_15e8_0167,"Cirque du Soleil",ENTERTAINMENT_OPT_a24e_000A
"Name the Frenchman who invented the flying trapeze in 1859.",ENTERTAINMENT_c4f6_0168,"Jules Leotard",ENTERTAINMENT_OPT_4a9b_000D
"Which traveling circus of the early 20th century, based in Peru, Indiana, was the inspiration for Cathy Days novel The Circus in Winter?",ENTERTAINMENT_b15e_0169,"The Hagenbeck-Wallace Circus",ENTERTAINMENT_OPT_a4ab_000D
"Which of these is the name of an old British circus dynasty that toured Europe and the Far East with their shows?",ENTERTAINMENT_1386_0170,Chipperfield,ENTERTAINMENT_OPT_700d_000C
"What circus was founded in 1995 by a duo named Fireplay?",ENTERTAINMENT_5719_0171,"The Bindlestiff Family Cirkus",ENTERTAINMENT_OPT_8298_000C
"Who sidelined WWE wrestler John Cena for 4 months, because of a torn pectoral muscle?",ENTERTAINMENT_fab0_0172,"Randy Orton",ENTERTAINMENT_OPT_b2b0_000A
"The WWE wrestlers Jeff Hardy and Matt Hardy tag-team with each other a lot.",ENTERTAINMENT_5737_0173,False,ENTERTAINMENT_OPT_981b_000A
"This Diva was one of the best WWE Divas ever, but unfortunately, she retired in 2007.",ENTERTAINMENT_efdd_0174,Lita,ENTERTAINMENT_OPT_1eae_000D
"WWE wrestler Triple H is the brother of Stephanie McMahon.",ENTERTAINMENT_58a0_0175,False,ENTERTAINMENT_OPT_ddc4_000B
"WWE DIVA Ashley was actually born in Los Angles, California.",ENTERTAINMENT_3961_0176,No,ENTERTAINMENT_OPT_4417_000B
"Who did WWE wrestler Matt Hardy lose his love interest Lita to?",ENTERTAINMENT_2f4b_0177,Edge,ENTERTAINMENT_OPT_bda1_000C
"When did WWE wrestler Ric Flairs career end?",ENTERTAINMENT_ea20_0178,"March 31 2008",ENTERTAINMENT_OPT_2763_000D
"At Wrestlemania 24, it came down to Y2J, Chris Jericho and CM Punk in the Money In The Bank ladder match and CM Punk won.",ENTERTAINMENT_c71a_0179,True,ENTERTAINMENT_OPT_c182_000B
"The Marvel character Anubis is also known as The Guardian of the Veil .",ENTERTAINMENT_9503_0180,True,ENTERTAINMENT_OPT_1c31_000B
"In the Marvel comics universe, Horus is the God of fire.",ENTERTAINMENT_c043_0181,False,ENTERTAINMENT_OPT_a7d4_000B
