OID,QID,text
GENERAL_OPT_d8b2_000A,GENERAL_d2bb_0061,"Tilly Masterson"
GENERAL_OPT_2110_000B,GENERAL_d2bb_0061,"Pussy Galore"
GENERAL_OPT_b53b_000C,GENERAL_d2bb_0061,Goldfinger
GENERAL_OPT_74f8_000D,GENERAL_d2bb_0061,Oddjob
GENERAL_OPT_d038_000A,GENERAL_3ba4_0062,"None of these"
GENERAL_OPT_8899_000B,GENERAL_3ba4_0062,"It was John Waynes first movie without a female co-star"
GENERAL_OPT_5345_000C,GENERAL_3ba4_0062,"It was the only non-western John Wayne movie in color"
GENERAL_OPT_3ba7_000D,GENERAL_3ba4_0062,"It was the only Vietnam War film that was produced during the war itself"
GENERAL_OPT_b14a_000A,GENERAL_c12f_0063,False
GENERAL_OPT_4d94_000B,GENERAL_c12f_0063,True
GENERAL_OPT_fb3a_000A,GENERAL_4c7f_0064,Demeter
GENERAL_OPT_cc26_000B,GENERAL_4c7f_0064,Aphrodite
GENERAL_OPT_c8d5_000C,GENERAL_4c7f_0064,Hera
GENERAL_OPT_5275_000D,GENERAL_4c7f_0064,Medusa
GENERAL_OPT_f9af_000A,GENERAL_897d_0065,"More than those of a brunette"
GENERAL_OPT_9d59_000B,GENERAL_897d_0065,"Thinner than those of a brunette"
GENERAL_OPT_4db7_000C,GENERAL_897d_0065,"The same number as those of a brunette"
GENERAL_OPT_d63a_000D,GENERAL_897d_0065,"Fewer than those of a brunette"
GENERAL_OPT_6e31_000A,GENERAL_65e2_0066,"Have frequent technical issues with the registers"
GENERAL_OPT_27c9_000B,GENERAL_65e2_0066,"Gather greater queues"
GENERAL_OPT_d541_000C,GENERAL_65e2_0066,"Receive more tips from customers"
GENERAL_OPT_45af_000D,GENERAL_65e2_0066,"Have higher chances of not balancing the register at the end of the day"
GENERAL_OPT_ee5f_000A,GENERAL_a5cb_0067,Stupidity
GENERAL_OPT_0b71_000B,GENERAL_a5cb_0067,"High class"
GENERAL_OPT_2b6c_000C,GENERAL_a5cb_0067,Intelligence
GENERAL_OPT_9437_000D,GENERAL_a5cb_0067,Prostitution
GENERAL_OPT_458a_000A,GENERAL_4008_0068,Blonde
GENERAL_OPT_3bb5_000B,GENERAL_4008_0068,Dark
GENERAL_OPT_964c_000C,GENERAL_4008_0068,Green
GENERAL_OPT_16f6_000D,GENERAL_4008_0068,Red
GENERAL_OPT_6e84_000A,GENERAL_ce75_0069,Valor
GENERAL_OPT_a747_000B,GENERAL_ce75_0069,"German nationality"
GENERAL_OPT_f08d_000C,GENERAL_ce75_0069,Innocence
GENERAL_OPT_7034_000D,GENERAL_ce75_0069,"The purity of the Aryan race"
GENERAL_OPT_28e9_000A,GENERAL_2e08_0070,"Marlene Dietrich"
GENERAL_OPT_feab_000B,GENERAL_2e08_0070,"Eva Brown"
GENERAL_OPT_73e5_000C,GENERAL_2e08_0070,"Marilyn Monroe"
GENERAL_OPT_6e53_000D,GENERAL_2e08_0070,Madonna
GENERAL_OPT_2e93_000A,GENERAL_7a14_0071,"Madamme Butterfly"
GENERAL_OPT_7e78_000B,GENERAL_7a14_0071,Cleopatra
GENERAL_OPT_a9c8_000C,GENERAL_7a14_0071,Beyonce
GENERAL_OPT_2624_000D,GENERAL_7a14_0071,"Aretha Franklyn"
GENERAL_OPT_d385_000A,GENERAL_a823_0072,Danger
GENERAL_OPT_a258_000B,GENERAL_a823_0072,Warmth
GENERAL_OPT_1474_000C,GENERAL_a823_0072,Passion
GENERAL_OPT_1b7f_000D,GENERAL_a823_0072,Sadness
GENERAL_OPT_07df_000A,GENERAL_2964_0073,True
GENERAL_OPT_8b0d_000B,GENERAL_2964_0073,False
GENERAL_OPT_5021_000A,GENERAL_e291_0074,Photographer
GENERAL_OPT_65d6_000B,GENERAL_e291_0074,Teacher
GENERAL_OPT_30ab_000C,GENERAL_e291_0074,Model
GENERAL_OPT_157b_000D,GENERAL_e291_0074,Actress
GENERAL_OPT_92b2_000A,GENERAL_0aa5_0075,"Red Shire"
GENERAL_OPT_ce5c_000B,GENERAL_0aa5_0075,"Red Sheath"
GENERAL_OPT_e4a8_000C,GENERAL_0aa5_0075,"Red Shield"
GENERAL_OPT_6ef4_000D,GENERAL_0aa5_0075,"Red Sheave"
GENERAL_OPT_1cee_000A,GENERAL_16a7_0076,"Blood Sugar Sex Magik"
GENERAL_OPT_ec1c_000B,GENERAL_16a7_0076,"Freaky Styley"
GENERAL_OPT_a243_000C,GENERAL_16a7_0076,"In Another Land"
GENERAL_OPT_325f_000D,GENERAL_16a7_0076,"By the Way"
GENERAL_OPT_a5a8_000A,GENERAL_a8a5_0077,Ottawa
GENERAL_OPT_4717_000B,GENERAL_a8a5_0077,Toronto
GENERAL_OPT_f836_000C,GENERAL_a8a5_0077,Vancouver
GENERAL_OPT_d0b2_000D,GENERAL_a8a5_0077,Winnipeg
GENERAL_OPT_dc5d_000A,GENERAL_15fa_0078,"Harbor for Seafood Lovers"
GENERAL_OPT_ef1d_000B,GENERAL_15fa_0078,"Lobster Lovers"
GENERAL_OPT_7b35_000C,GENERAL_15fa_0078,"Lobster Barbecue"
GENERAL_OPT_6718_000D,GENERAL_15fa_0078,"Red Harbor"
GENERAL_OPT_3847_000A,GENERAL_6ef6_0079,"Red Battle-Flyer - the Germans"
GENERAL_OPT_14a8_000B,GENERAL_6ef6_0079,"Red Devil - the French"
GENERAL_OPT_8a78_000C,GENERAL_6ef6_0079,"Red Baron - the British"
GENERAL_OPT_ffdc_000D,GENERAL_6ef6_0079,"They are all true."
GENERAL_OPT_81b4_000A,GENERAL_bba5_0080,Arsenal
GENERAL_OPT_b690_000B,GENERAL_bba5_0080,Liverpool
GENERAL_OPT_c9ab_000C,GENERAL_bba5_0080,"Manchester United"
GENERAL_OPT_942b_000D,GENERAL_bba5_0080,Middlesbrough
GENERAL_OPT_a775_000A,GENERAL_2e5b_0081,Jordan
GENERAL_OPT_8e38_000B,GENERAL_2e5b_0081,Egypt
GENERAL_OPT_5703_000C,GENERAL_2e5b_0081,Oman
GENERAL_OPT_97e0_000D,GENERAL_2e5b_0081,Sudan
GENERAL_OPT_9dbf_000A,GENERAL_a9c7_0082,"Labour parties"
GENERAL_OPT_ca4c_000B,GENERAL_a9c7_0082,"Liberal parties"
GENERAL_OPT_90f4_000C,GENERAL_a9c7_0082,"Communist parties"
GENERAL_OPT_517f_000D,GENERAL_a9c7_0082,"Conservative parties"
GENERAL_OPT_a5c9_000A,GENERAL_5fa1_0083,England
GENERAL_OPT_5b27_000B,GENERAL_5fa1_0083,Germany
GENERAL_OPT_5432_000C,GENERAL_5fa1_0083,Spain
GENERAL_OPT_a797_000D,GENERAL_5fa1_0083,France
GENERAL_OPT_223c_000A,GENERAL_78d3_0084,"Eiffel 65"
GENERAL_OPT_cd84_000B,GENERAL_78d3_0084,Contact!
GENERAL_OPT_7ea7_000C,GENERAL_78d3_0084,Europop
GENERAL_OPT_0323_000D,GENERAL_78d3_0084,"Suggested Title - Crash Test"
GENERAL_OPT_c233_000A,GENERAL_33d1_0085,Married
GENERAL_OPT_f8b2_000B,GENERAL_33d1_0085,Crazy
GENERAL_OPT_3a4d_000C,GENERAL_33d1_0085,Rich
GENERAL_OPT_01b9_000D,GENERAL_33d1_0085,Drunk
GENERAL_OPT_8b54_000A,GENERAL_86eb_0086,"Jim Morrison"
GENERAL_OPT_121d_000B,GENERAL_86eb_0086,"Stevie Wonder"
GENERAL_OPT_790b_000C,GENERAL_86eb_0086,"Elton John"
GENERAL_OPT_a2b7_000D,GENERAL_86eb_0086,"Steve Lawrence"
GENERAL_OPT_bc7b_000A,GENERAL_6fb0_0087,Cyan
GENERAL_OPT_1317_000B,GENERAL_6fb0_0087,Volo-loco
GENERAL_OPT_4f74_000C,GENERAL_6fb0_0087,Hooloovoo
GENERAL_OPT_b3cd_000D,GENERAL_6fb0_0087,Gobo
GENERAL_OPT_358c_000A,GENERAL_3ace_0088,"Business offices"
GENERAL_OPT_4eca_000B,GENERAL_3ace_0088,"Celebrities home numbers"
GENERAL_OPT_092d_000C,GENERAL_3ace_0088,"Brothels numbers"
GENERAL_OPT_2b48_000D,GENERAL_3ace_0088,"Government offices"
GENERAL_OPT_878b_000A,GENERAL_3c65_0089,Hewlett-Packard
GENERAL_OPT_2cd9_000B,GENERAL_3c65_0089,Microsoft
GENERAL_OPT_a83b_000C,GENERAL_3c65_0089,IBM
GENERAL_OPT_0627_000D,GENERAL_3c65_0089,"Cisco Systems, Inc."
GENERAL_OPT_dcb2_000A,GENERAL_97fa_0090,"The 56K modem"
GENERAL_OPT_3c3d_000B,GENERAL_97fa_0090,"Potato Chips"
GENERAL_OPT_1506_000C,GENERAL_97fa_0090,"Bookshelf speakers"
GENERAL_OPT_bd19_000D,GENERAL_97fa_0090,"The remote control locator"
GENERAL_OPT_8f82_000A,GENERAL_481e_0091,"The remote control locator"
GENERAL_OPT_9b1e_000B,GENERAL_481e_0091,"The potato chips"
GENERAL_OPT_f4f4_000C,GENERAL_481e_0091,"Bookshelf speakers"
GENERAL_OPT_bf21_000D,GENERAL_481e_0091,"The 56K modem"
GENERAL_OPT_13ba_000A,GENERAL_1180_0092,"David Thomson"
GENERAL_OPT_0231_000B,GENERAL_1180_0092,"John Tomlinson"
GENERAL_OPT_e5f2_000C,GENERAL_1180_0092,"Mark Thomson"
GENERAL_OPT_77ad_000D,GENERAL_1180_0092,"Ray Tomlinson"
GENERAL_OPT_2ea7_000A,GENERAL_fa24_0093,"The remote control locator"
GENERAL_OPT_ea79_000B,GENERAL_fa24_0093,"The bookshelf speakers"
GENERAL_OPT_8620_000C,GENERAL_fa24_0093,"The 56K modem"
GENERAL_OPT_8e05_000D,GENERAL_fa24_0093,"The microphone"
GENERAL_OPT_3745_000A,GENERAL_3b34_0094,"Bill Haley"
GENERAL_OPT_6525_000B,GENERAL_3b34_0094,"Chuck Berry"
GENERAL_OPT_fe13_000C,GENERAL_3b34_0094,"Elvis Presley"
GENERAL_OPT_869e_000D,GENERAL_3b34_0094,"Jerry Lee Lewis"
GENERAL_OPT_fc58_000A,GENERAL_4e66_0095,"John Travolta"
GENERAL_OPT_4c7e_000B,GENERAL_4e66_0095,"Anthony LaPaglia"
GENERAL_OPT_e5b0_000C,GENERAL_4e66_0095,"Ralph Finnes"
GENERAL_OPT_d0ef_000D,GENERAL_4e66_0095,"Harrison Ford"
GENERAL_OPT_92b0_000A,GENERAL_431c_0096,15
GENERAL_OPT_f8a4_000B,GENERAL_431c_0096,20
GENERAL_OPT_4ad1_000C,GENERAL_431c_0096,19
GENERAL_OPT_be67_000D,GENERAL_431c_0096,21
GENERAL_OPT_876f_000A,GENERAL_7cb4_0097,6
GENERAL_OPT_df45_000B,GENERAL_7cb4_0097,13
GENERAL_OPT_5b90_000C,GENERAL_7cb4_0097,9
GENERAL_OPT_ec98_000D,GENERAL_7cb4_0097,666
GENERAL_OPT_3659_000A,GENERAL_9a25_0098,11
GENERAL_OPT_743f_000B,GENERAL_9a25_0098,3
GENERAL_OPT_f86e_000C,GENERAL_9a25_0098,4
GENERAL_OPT_a95f_000D,GENERAL_9a25_0098,7
GENERAL_OPT_b21d_000A,GENERAL_2d99_0099,"Pearl anniversary"
GENERAL_OPT_eb90_000B,GENERAL_2d99_0099,"Diamond anniversary"
GENERAL_OPT_d843_000C,GENERAL_2d99_0099,"Gold anniversary"
GENERAL_OPT_46d1_000D,GENERAL_2d99_0099,"Platinum anniversary"
GENERAL_OPT_8055_000A,GENERAL_c71a_0100,18
GENERAL_OPT_ee3f_000B,GENERAL_c71a_0100,17
GENERAL_OPT_b681_000C,GENERAL_c71a_0100,19
GENERAL_OPT_ae04_000D,GENERAL_c71a_0100,21
GENERAL_OPT_b40a_000A,GENERAL_249f_0101,12
GENERAL_OPT_fb59_000B,GENERAL_249f_0101,24
GENERAL_OPT_9fcb_000C,GENERAL_249f_0101,14
GENERAL_OPT_978f_000D,GENERAL_249f_0101,27
GENERAL_OPT_33f9_000A,GENERAL_6f6c_0102,"Each parent contributes 23 chromosomes to the DNA of a child."
GENERAL_OPT_2408_000B,GENERAL_6f6c_0102,"Julius Caesar was stabbed 23 times when he was assassinated."
GENERAL_OPT_c7e4_000C,GENERAL_6f6c_0102,"All statements are in fact true."
